problem_id,num_submissions,acceptance_rate,avg_cpu_time,avg_memory,avg_code_size
p00000,16099,0.5340083234983539,12.999883680353612,5379.262998720484,227.1030592067
p00001,12324,0.49448231093800715,16.20610436494913,5583.997374466689,385.9637348211355
p00002,11885,0.3983172065628944,15.25559780312632,5254.805238698775,329.2291930713984
p00003,9314,0.4928065278076015,24.775599128540303,5685.602614379085,475.456862745098
p00004,11504,0.26199582753824757,14.873921698739217,5030.79893828799,539.3354346383544
p00005,8055,0.44990689013035384,26.531456953642383,4725.1556291390725,484.1777041942605
p00006,6851,0.5041599766457452,12.223508975101332,4934.27099015634,254.21887666473654
p00007,5567,0.55721214298545,14.00709219858156,5484.046421663443,332.77433913604125
p00008,5040,0.5807539682539683,39.84284250085412,5175.210112743423,460.3809361120601
p00009,12001,0.2894758770102491,364.9971214738054,14560.008059873346,658.8747841105354
p00010,3437,0.3709630491707885,14.376470588235295,4656.316862745098,1260.7505882352941
p00011,3742,0.6523249599144842,20.938140106513725,8401.383039737811,574.5079885292913
p00012,3029,0.42621327170683393,14.670797831138652,4544.362509682417,1224.0797831138652
p00013,3473,0.5704002303484019,11.701161029782938,4522.303886925795,370.36244321049975
p00014,2684,0.687779433681073,15.644637053087758,4877.655471289274,304.84994582881905
p00015,5222,0.2680965147453083,18.87857142857143,5988.868571428571,1074.585
p00016,2076,0.5616570327552987,12.795883361921097,4698.754716981132,575.639794168096
p00017,4488,0.2894385026737968,17.8598922247883,5440.976135488838,807.2109314857582
p00018,3459,0.49956634865568084,14.635416666666666,5074.469907407408,400.8767361111111
p00019,4131,0.46550472040668117,13.213728549141965,4852.867394695788,285.6214248569943
p00020,2888,0.5990304709141274,14.306358381502891,5057.838150289017,266.0994219653179
p00021,7231,0.18157931129857557,13.206397562833207,4234.455445544554,840.1568926123382
p00022,4317,0.3240676395645124,94.1529664045747,6319.59113652609,607.553967119371
p00023,2720,0.36580882352941174,11.467336683417086,4110.359798994975,898.9306532663317
p00024,2086,0.5532118887823586,12.279029462738302,4464.890814558059,340.39688041594457
p00025,2430,0.5946502057613169,12.0,4549.993079584775,583.6041522491349
p00026,2547,0.4703572830781311,13.781302170283807,5317.609348914858,1325.6126878130217
p00027,2195,0.6150341685649203,13.11111111111111,4555.842962962963,726.8074074074074
p00028,2321,0.6863420939250323,14.563716258631512,4973.185185185185,449.8675455116133
p00029,2237,0.6124273580688422,15.379562043795621,5458.8788321167885,715.9890510948906
